flat_type,full_address,floor_type,square,price
1К,"ОрджоникидзевскийЛенина пр-т, 143",10/10,45/25/12 м2,4 200 000 р.
3Кстарой планировки,"ЛенинскийПервомайская, 1",1/2,"53,3/31,1/6 м2",3 200 000 р.
1К,"ОрджоникидзевскийЛенина пр-т, 142",4/16,"33,3/15/8 м2",3 200 000 р.
2К,"Советский переулок, 10/1",5/9,"43,6/32/6 м2",3 700 000 р.
2К,"Строителей, 58/1",3/3,75/35/20 м2,7 150 000 р.
2Кстарой планировки,"ЛенинскийНиколая Шишка, 20/1",3/5,43/29/6 м2,2 450 000 р.
3Ксвердловский вариант,"ОрджоникидзевскийКалмыковаКоробова, 12",1/10,69/58/8 м2,4 250 000 р.
1Кмалосемейка,"ПравобережныйЛенина пр-т, 98/1",6/9,30/17/6 м2,1 750 000 р.
,"Калмыкова, 14",8/9,65/45/8 м2,4 800 000 р.
3К,"Правобережныйул Суворова, 142",5/5,"50,8/36/6 м2",3 350 000 р.
3К,"Ленина пр-т, 34",5/5,"80,7/60/9 м2",5 300 000 р.
3К,"ул Ленинградская, 5/2",1/4,70/45/12 м2,5 900 000 р.
4К,"ОрджоникидзевскийСиреневый проезд, 21",7/9,"68,6/0/10 м2",5 700 000 р.
1К,"ОрджоникидзевскийКарла Маркса, 220",2/10,"42,5/0/8,5 м2",3 400 000 р.
3Кстарой планировки,"ЛенинскийМосковская, 47",1/5,"55,4/41/6 м2",3 010 000 р.
2Кбрежневка,"ОрджоникидзевскийВорошилова, 9",4/5,45/30/6 м2,3 190 000 р.
2Ксталинский вариант,"ЛенинскийЛенина пр-т, 8",2/4,50/35/7 м2,3 850 000 р.
3К,"ЛенинскийЛенина пр-т, 5",5/5,"70,3/40/9 м2",3 990 000 р.
3Кнестандартная,"ЛенинскийТимирязева, 45",2/2,78/30/20 м2,6 200 000 р.
1К,"Западное шоссе, 95",1/3,"36,2/20/10 м2",3 050 000 р.
2К,"Западное шоссе, 444ак4",3/4,66/40/12 м2,6 290 000 р.
2К,"Тевосяна, 4/1",6/9,65/40/11 м2,5 500 000 р.
2К,"Тевосяна, 9",9/9,50/30/9 м2,3 790 000 р.
3К,"Санаторная, 15/1",1/5,"63,4/45/8 м2",4 400 000 р.
3К,"Металлургов, 11",7/8,88/60/9 м2,7 000 000 р.
1К,"Карла Маркса, 115к5",2/5,31/17/6 м2,2 180 000 р.
